	ORF	Gene	SGDID	GO_Aspect	GO_Slim_Term	GOID	Feature_type	Feature_typed_Filtered
6452	YDL217C	TIM22	S000002376	P	mitochondrion organization	GO:0007005	ORF|Verified	True
6453	YDL217C	TIM22	S000002376	P	protein targeting	GO:0006605	ORF|Verified	True
6454	YDL217C	TIM22	S000002376	P	transmembrane transport	GO:0055085	ORF|Verified	True
6461	YDL219W	DTD1	S000002378	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
6466	YDL220C	CDC13	S000002379	P	regulation of DNA metabolic process	GO:0051052	ORF|Verified	True
6467	YDL220C	CDC13	S000002379	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
6468	YDL220C	CDC13	S000002379	P	telomere organization	GO:0032200	ORF|Verified	True
6478	YDL222C	FMP45	S000002381	P	cell wall organization or biogenesis	GO:0071554	ORF|Verified	True
6479	YDL222C	FMP45	S000002381	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
6480	YDL222C	FMP45	S000002381	P	sporulation	GO:0043934	ORF|Verified	True
6484	YDL223C	HBT1	S000002382	P	cell morphogenesis	GO:0000902	ORF|Verified	True
6485	YDL223C	HBT1	S000002382	P	conjugation	GO:0000746	ORF|Verified	True
6486	YDL223C	HBT1	S000002382	P	response to chemical	GO:0042221	ORF|Verified	True
6489	YDL224C	WHI4	S000002383	P	regulation of translation	GO:0006417	ORF|Verified	True
6497	YDL225W	SHS1	S000002384	P	cytokinesis	GO:0000910	ORF|Verified	True
6498	YDL225W	SHS1	S000002384	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
6499	YDL225W	SHS1	S000002384	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
6500	YDL225W	SHS1	S000002384	P	organelle assembly	GO:0070925	ORF|Verified	True
6501	YDL225W	SHS1	S000002384	P	organelle fission	GO:0048285	ORF|Verified	True
6502	YDL225W	SHS1	S000002384	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
6510	YDL226C	GCS1	S000002385	P	Golgi vesicle transport	GO:0048193	ORF|Verified	True
6511	YDL226C	GCS1	S000002385	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
6515	YDL227C	HO	S000002386	P	DNA recombination	GO:0006310	ORF|Verified	True
6525	YDL229W	SSB1	S000002388	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
6526	YDL229W	SSB1	S000002388	P	nuclear transport	GO:0051169	ORF|Verified	True
6527	YDL229W	SSB1	S000002388	P	protein folding	GO:0006457	ORF|Verified	True
6528	YDL229W	SSB1	S000002388	P	rRNA processing	GO:0006364	ORF|Verified	True
6529	YDL229W	SSB1	S000002388	P	regulation of translation	GO:0006417	ORF|Verified	True
6530	YDL229W	SSB1	S000002388	P	response to starvation	GO:0042594	ORF|Verified	True
6531	YDL229W	SSB1	S000002388	P	ribosomal subunit export from nucleus	GO:0000054	ORF|Verified	True
6532	YDL229W	SSB1	S000002388	P	translational elongation	GO:0006414	ORF|Verified	True
6537	YDL230W	PTP1	S000002389	P	invasive growth in response to glucose limitation	GO:0001403	ORF|Verified	True
6538	YDL230W	PTP1	S000002389	P	protein dephosphorylation	GO:0006470	ORF|Verified	True
6539	YDL230W	PTP1	S000002389	P	pseudohyphal growth	GO:0007124	ORF|Verified	True
6542	YDL231C	BRE4	S000002390	P	endocytosis	GO:0006897	ORF|Verified	True
6551	YDL232W	OST4	S000002391	P	protein glycosylation	GO:0006486	ORF|Verified	True
6558	YDL234C	GYP7	S000002393	P	membrane fusion	GO:0061025	ORF|Verified	True
6559	YDL234C	GYP7	S000002393	P	organelle fusion	GO:0048284	ORF|Verified	True
6560	YDL234C	GYP7	S000002393	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
6561	YDL234C	GYP7	S000002393	P	vacuole organization	GO:0007033	ORF|Verified	True
6566	YDL235C	YPD1	S000002394	P	response to osmotic stress	GO:0006970	ORF|Verified	True
6567	YDL235C	YPD1	S000002394	P	signaling	GO:0023052	ORF|Verified	True
6572	YDL236W	PHO13	S000002395	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
6573	YDL236W	PHO13	S000002395	P	protein dephosphorylation	GO:0006470	ORF|Verified	True
6576	YDL237W	AIM6	S000002396	P	biological_process	GO:0008150	ORF|Verified	True
6579	YDL238C	GUD1	S000002397	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
6584	YDL239C	ADY3	S000002398	P	cell wall organization or biogenesis	GO:0071554	ORF|Verified	True
6585	YDL239C	ADY3	S000002398	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
6586	YDL239C	ADY3	S000002398	P	mitochondrion organization	GO:0007005	ORF|Verified	True
6587	YDL239C	ADY3	S000002398	P	organelle inheritance	GO:0048308	ORF|Verified	True
6588	YDL239C	ADY3	S000002398	P	sporulation	GO:0043934	ORF|Verified	True
6597	YDL240W	LRG1	S000002399	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
6598	YDL240W	LRG1	S000002399	P	cell wall organization or biogenesis	GO:0071554	ORF|Verified	True
6599	YDL240W	LRG1	S000002399	P	conjugation	GO:0000746	ORF|Verified	True
6600	YDL240W	LRG1	S000002399	P	signaling	GO:0023052	ORF|Verified	True
6614	YDL244W	THI13	S000002403	P	vitamin metabolic process	GO:0006766	ORF|Verified	True
6618	YDL245C	HXT15	S000002404	P	carbohydrate transport	GO:0008643	ORF|Verified	True
6619	YDL245C	HXT15	S000002404	P	transmembrane transport	GO:0055085	ORF|Verified	True
6622	YDL246C	SOR2	S000002405	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
6626	YDL247W	MPH2	S000002406	P	carbohydrate transport	GO:0008643	ORF|Verified	True
6627	YDL247W	MPH2	S000002406	P	transmembrane transport	GO:0055085	ORF|Verified	True
6638	YDL248W	COS7	S000002407	P	endosomal transport	GO:0016197	ORF|Verified	True
6639	YDL248W	COS7	S000002407	P	protein targeting	GO:0006605	ORF|Verified	True
6640	YDL248W	COS7	S000002407	P	proteolysis involved in cellular protein catabolic process	GO:0051603	ORF|Verified	True
6644	YDR001C	NTH1	S000002408	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
6645	YDR001C	NTH1	S000002408	P	oligosaccharide metabolic process	GO:0009311	ORF|Verified	True
6646	YDR001C	NTH1	S000002408	P	response to chemical	GO:0042221	ORF|Verified	True
6650	YDR002W	YRB1	S000002409	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
6651	YDR002W	YRB1	S000002409	P	nuclear transport	GO:0051169	ORF|Verified	True
6652	YDR002W	YRB1	S000002409	P	nucleobase-containing compound transport	GO:0015931	ORF|Verified	True
6653	YDR002W	YRB1	S000002409	P	protein targeting	GO:0006605	ORF|Verified	True
6654	YDR002W	YRB1	S000002409	P	proteolysis involved in cellular protein catabolic process	GO:0051603	ORF|Verified	True
6666	YDR004W	RAD57	S000002411	P	DNA recombination	GO:0006310	ORF|Verified	True
6667	YDR004W	RAD57	S000002411	P	DNA repair	GO:0006281	ORF|Verified	True
6668	YDR004W	RAD57	S000002411	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
6669	YDR004W	RAD57	S000002411	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
6670	YDR004W	RAD57	S000002411	P	organelle fission	GO:0048285	ORF|Verified	True
6671	YDR004W	RAD57	S000002411	P	telomere organization	GO:0032200	ORF|Verified	True
6676	YDR005C	MAF1	S000002412	P	chromatin organization	GO:0006325	ORF|Verified	True
6677	YDR005C	MAF1	S000002412	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
6678	YDR005C	MAF1	S000002412	P	transcription from RNA polymerase III promoter	GO:0006383	ORF|Verified	True
6681	YDR006C	SOK1	S000002413	P	signaling	GO:0023052	ORF|Verified	True
6684	YDR007W	TRP1	S000002414	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
6691	YDR009W	GAL3	S000002416	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
6692	YDR009W	GAL3	S000002416	P	response to chemical	GO:0042221	ORF|Verified	True
6693	YDR009W	GAL3	S000002416	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
6704	YDR011W	SNQ2	S000002418	P	cellular ion homeostasis	GO:0006873	ORF|Verified	True
6705	YDR011W	SNQ2	S000002418	P	response to chemical	GO:0042221	ORF|Verified	True
6710	YDR012W	RPL4B	S000002419	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
6714	YDR013W	PSF1	S000002420	P	DNA recombination	GO:0006310	ORF|Verified	True
6715	YDR013W	PSF1	S000002420	P	DNA repair	GO:0006281	ORF|Verified	True
6716	YDR013W	PSF1	S000002420	P	DNA replication	GO:0006260	ORF|Verified	True
6717	YDR013W	PSF1	S000002420	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
6721	YDR014W	RAD61	S000002421	P	chromosome segregation	GO:0007059	ORF|Verified	True
6722	YDR014W	RAD61	S000002421	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
6723	YDR014W	RAD61	S000002421	P	organelle fission	GO:0048285	ORF|Verified	True
6724	YDR014W	RAD61	S000002421	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
6725	YDR014W	RAD61	S000002421	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
6729	YDR014W-A	HED1	S000113613	P	DNA recombination	GO:0006310	ORF|Verified	True
6730	YDR014W-A	HED1	S000113613	P	chromosome segregation	GO:0007059	ORF|Verified	True
6731	YDR014W-A	HED1	S000113613	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
6732	YDR014W-A	HED1	S000113613	P	organelle fission	GO:0048285	ORF|Verified	True
6733	YDR014W-A	HED1	S000113613	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
6734	YDR014W-A	HED1	S000113613	P	regulation of DNA metabolic process	GO:0051052	ORF|Verified	True
6741	YDR016C	DAD1	S000002423	P	chromosome segregation	GO:0007059	ORF|Verified	True
6742	YDR016C	DAD1	S000002423	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
6743	YDR016C	DAD1	S000002423	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
6744	YDR016C	DAD1	S000002423	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
6745	YDR016C	DAD1	S000002423	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
6749	YDR017C	KCS1	S000002424	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
6760	YDR019C	GCV1	S000002426	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
6770	YDR021W	FAL1	S000002428	P	rRNA processing	GO:0006364	ORF|Verified	True
6771	YDR021W	FAL1	S000002428	P	ribosomal small subunit biogenesis	GO:0042274	ORF|Verified	True
6774	YDR022C	ATG31	S000002429	P	mitochondrion organization	GO:0007005	ORF|Verified	True
6777	YDR023W	SES1	S000002430	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
6778	YDR023W	SES1	S000002430	P	tRNA aminoacylation for protein translation	GO:0006418	ORF|Verified	True
6787	YDR025W	RPS11A	S000002432	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
6788	YDR025W	RPS11A	S000002432	P	organelle assembly	GO:0070925	ORF|Verified	True
6789	YDR025W	RPS11A	S000002432	P	rRNA processing	GO:0006364	ORF|Verified	True
6790	YDR025W	RPS11A	S000002432	P	ribosomal small subunit biogenesis	GO:0042274	ORF|Verified	True
6791	YDR025W	RPS11A	S000002432	P	ribosome assembly	GO:0042255	ORF|Verified	True
6798	YDR026C	NSI1	S000002433	P	DNA-templated transcription, termination	GO:0006353	ORF|Verified	True
6799	YDR026C	NSI1	S000002433	P	chromatin organization	GO:0006325	ORF|Verified	True
6800	YDR026C	NSI1	S000002433	P	transcription from RNA polymerase I promoter	GO:0006360	ORF|Verified	True
6807	YDR027C	VPS54	S000002434	P	Golgi vesicle transport	GO:0048193	ORF|Verified	True
6808	YDR027C	VPS54	S000002434	P	cell wall organization or biogenesis	GO:0071554	ORF|Verified	True
6809	YDR027C	VPS54	S000002434	P	endosomal transport	GO:0016197	ORF|Verified	True
6810	YDR027C	VPS54	S000002434	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
6811	YDR027C	VPS54	S000002434	P	sporulation	GO:0043934	ORF|Verified	True
6814	YDR028C	REG1	S000002435	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
6815	YDR028C	REG1	S000002435	P	chromatin organization	GO:0006325	ORF|Verified	True
6816	YDR028C	REG1	S000002435	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
6817	YDR028C	REG1	S000002435	P	response to chemical	GO:0042221	ORF|Verified	True
6818	YDR028C	REG1	S000002435	P	response to starvation	GO:0042594	ORF|Verified	True
6819	YDR028C	REG1	S000002435	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
6825	YDR030C	RAD28	S000002437	P	DNA repair	GO:0006281	ORF|Verified	True
6826	YDR030C	RAD28	S000002437	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
6832	YDR031W	MIX14	S000002438	P	cellular respiration	GO:0045333	ORF|Verified	True
6833	YDR031W	MIX14	S000002438	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
6839	YDR032C	PST2	S000002439	P	biological_process	GO:0008150	ORF|Verified	True
6847	YDR033W	MRH1	S000002440	P	biological_process	GO:0008150	ORF|Verified	True
6851	YDR034C	LYS14	S000002441	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
6852	YDR034C	LYS14	S000002441	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
6867	YDR036C	EHD3	S000002443	P	biological_process	GO:0008150	ORF|Verified	True
6872	YDR037W	KRS1	S000002444	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
6873	YDR037W	KRS1	S000002444	P	tRNA aminoacylation for protein translation	GO:0006418	ORF|Verified	True
6879	YDR038C	ENA5	S000002445	P	ion transport	GO:0006811	ORF|Verified	True
6880	YDR038C	ENA5	S000002445	P	transmembrane transport	GO:0055085	ORF|Verified	True
6888	YDR039C	ENA2	S000002446	P	ion transport	GO:0006811	ORF|Verified	True
6889	YDR039C	ENA2	S000002446	P	transmembrane transport	GO:0055085	ORF|Verified	True
6897	YDR040C	ENA1	S000002447	P	ion transport	GO:0006811	ORF|Verified	True
6898	YDR040C	ENA1	S000002447	P	response to osmotic stress	GO:0006970	ORF|Verified	True
6899	YDR040C	ENA1	S000002447	P	response to starvation	GO:0042594	ORF|Verified	True
6900	YDR040C	ENA1	S000002447	P	transmembrane transport	GO:0055085	ORF|Verified	True
6906	YDR041W	RSM10	S000002448	P	mitochondrial translation	GO:0032543	ORF|Verified	True
6907	YDR041W	RSM10	S000002448	P	mitochondrion organization	GO:0007005	ORF|Verified	True
6916	YDR043C	NRG1	S000002450	P	invasive growth in response to glucose limitation	GO:0001403	ORF|Verified	True
6917	YDR043C	NRG1	S000002450	P	pseudohyphal growth	GO:0007124	ORF|Verified	True
6918	YDR043C	NRG1	S000002450	P	response to chemical	GO:0042221	ORF|Verified	True
6919	YDR043C	NRG1	S000002450	P	response to osmotic stress	GO:0006970	ORF|Verified	True
6920	YDR043C	NRG1	S000002450	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
6923	YDR044W	HEM13	S000002451	P	cofactor metabolic process	GO:0051186	ORF|Verified	True
6927	YDR045C	RPC11	S000002452	P	DNA-templated transcription, termination	GO:0006353	ORF|Verified	True
6928	YDR045C	RPC11	S000002452	P	transcription from RNA polymerase III promoter	GO:0006383	ORF|Verified	True
6936	YDR046C	BAP3	S000002453	P	amino acid transport	GO:0006865	ORF|Verified	True
6937	YDR046C	BAP3	S000002453	P	ion transport	GO:0006811	ORF|Verified	True
6938	YDR046C	BAP3	S000002453	P	transmembrane transport	GO:0055085	ORF|Verified	True
6942	YDR047W	HEM12	S000002454	P	cofactor metabolic process	GO:0051186	ORF|Verified	True
6954	YDR049W	VMS1	S000002456	P	proteolysis involved in cellular protein catabolic process	GO:0051603	ORF|Verified	True
6955	YDR049W	VMS1	S000002456	P	response to chemical	GO:0042221	ORF|Verified	True
6961	YDR050C	TPI1	S000002457	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
6962	YDR050C	TPI1	S000002457	P	cofactor metabolic process	GO:0051186	ORF|Verified	True
6963	YDR050C	TPI1	S000002457	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
6964	YDR050C	TPI1	S000002457	P	monocarboxylic acid metabolic process	GO:0032787	ORF|Verified	True
6965	YDR050C	TPI1	S000002457	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
6970	YDR051C	DET1	S000002458	P	lipid transport	GO:0006869	ORF|Verified	True
6976	YDR052C	DBF4	S000002459	P	DNA replication	GO:0006260	ORF|Verified	True
6977	YDR052C	DBF4	S000002459	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
6978	YDR052C	DBF4	S000002459	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
6979	YDR052C	DBF4	S000002459	P	organelle fission	GO:0048285	ORF|Verified	True
6980	YDR052C	DBF4	S000002459	P	protein phosphorylation	GO:0006468	ORF|Verified	True
6981	YDR052C	DBF4	S000002459	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
6982	YDR052C	DBF4	S000002459	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
6983	YDR052C	DBF4	S000002459	P	regulation of protein modification process	GO:0031399	ORF|Verified	True
6990	YDR054C	CDC34	S000002461	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
6991	YDR054C	CDC34	S000002461	P	protein modification by small protein conjugation or removal	GO:0070647	ORF|Verified	True
6992	YDR054C	CDC34	S000002461	P	proteolysis involved in cellular protein catabolic process	GO:0051603	ORF|Verified	True
6999	YDR055W	PST1	S000002462	P	cell wall organization or biogenesis	GO:0071554	ORF|Verified	True
7010	YDR057W	YOS9	S000002464	P	proteolysis involved in cellular protein catabolic process	GO:0051603	ORF|Verified	True
7011	YDR057W	YOS9	S000002464	P	response to chemical	GO:0042221	ORF|Verified	True
7012	YDR057W	YOS9	S000002464	P	signaling	GO:0023052	ORF|Verified	True
7016	YDR058C	TGL2	S000002465	P	lipid metabolic process	GO:0006629	ORF|Verified	True
7019	YDR059C	UBC5	S000002466	P	protein modification by small protein conjugation or removal	GO:0070647	ORF|Verified	True
7020	YDR059C	UBC5	S000002466	P	response to heat	GO:0009408	ORF|Verified	True
7024	YDR060W	MAK21	S000002467	P	organelle assembly	GO:0070925	ORF|Verified	True
7025	YDR060W	MAK21	S000002467	P	ribosomal large subunit biogenesis	GO:0042273	ORF|Verified	True
7026	YDR060W	MAK21	S000002467	P	ribosome assembly	GO:0042255	ORF|Verified	True
7036	YDR062W	LCB2	S000002469	P	lipid metabolic process	GO:0006629	ORF|Verified	True
7042	YDR063W	AIM7	S000002470	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
7043	YDR063W	AIM7	S000002470	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
7044	YDR063W	AIM7	S000002470	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
7051	YDR064W	RPS13	S000002471	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
7052	YDR064W	RPS13	S000002471	P	rRNA processing	GO:0006364	ORF|Verified	True
7053	YDR064W	RPS13	S000002471	P	ribosomal small subunit biogenesis	GO:0042274	ORF|Verified	True
7057	YDR065W	RRG1	S000002472	P	cellular ion homeostasis	GO:0006873	ORF|Verified	True
7058	YDR065W	RRG1	S000002472	P	mitochondrion organization	GO:0007005	ORF|Verified	True
7062	YDR066C	RTR2	S000002473	P	biological_process	GO:0008150	ORF|Verified	True
7068	YDR068W	DOS2	S000002475	P	biological_process	GO:0008150	ORF|Verified	True
7075	YDR069C	DOA4	S000002476	P	DNA replication	GO:0006260	ORF|Verified	True
7076	YDR069C	DOA4	S000002476	P	endocytosis	GO:0006897	ORF|Verified	True
7077	YDR069C	DOA4	S000002476	P	ion transport	GO:0006811	ORF|Verified	True
7078	YDR069C	DOA4	S000002476	P	nucleobase-containing compound transport	GO:0015931	ORF|Verified	True
7079	YDR069C	DOA4	S000002476	P	proteolysis involved in cellular protein catabolic process	GO:0051603	ORF|Verified	True
7080	YDR069C	DOA4	S000002476	P	regulation of DNA metabolic process	GO:0051052	ORF|Verified	True
7081	YDR069C	DOA4	S000002476	P	vesicle organization	GO:0016050	ORF|Verified	True
7085	YDR070C	FMP16	S000002477	P	biological_process	GO:0008150	ORF|Verified	True
7088	YDR071C	PAA1	S000002478	P	chromatin organization	GO:0006325	ORF|Verified	True
7091	YDR072C	IPT1	S000002479	P	lipid metabolic process	GO:0006629	ORF|Verified	True
7096	YDR073W	SNF11	S000002480	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
7101	YDR074W	TPS2	S000002481	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
7102	YDR074W	TPS2	S000002481	P	oligosaccharide metabolic process	GO:0009311	ORF|Verified	True
7103	YDR074W	TPS2	S000002481	P	response to heat	GO:0009408	ORF|Verified	True
7109	YDR075W	PPH3	S000002482	P	DNA recombination	GO:0006310	ORF|Verified	True
7110	YDR075W	PPH3	S000002482	P	DNA repair	GO:0006281	ORF|Verified	True
7111	YDR075W	PPH3	S000002482	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
7112	YDR075W	PPH3	S000002482	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
7113	YDR075W	PPH3	S000002482	P	organelle fission	GO:0048285	ORF|Verified	True
7114	YDR075W	PPH3	S000002482	P	protein dephosphorylation	GO:0006470	ORF|Verified	True
7115	YDR075W	PPH3	S000002482	P	regulation of DNA metabolic process	GO:0051052	ORF|Verified	True
7116	YDR075W	PPH3	S000002482	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
7117	YDR075W	PPH3	S000002482	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
7118	YDR075W	PPH3	S000002482	P	response to chemical	GO:0042221	ORF|Verified	True
7119	YDR075W	PPH3	S000002482	P	signaling	GO:0023052	ORF|Verified	True
7123	YDR076W	RAD55	S000002483	P	DNA recombination	GO:0006310	ORF|Verified	True
7124	YDR076W	RAD55	S000002483	P	DNA repair	GO:0006281	ORF|Verified	True
7125	YDR076W	RAD55	S000002483	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
7126	YDR076W	RAD55	S000002483	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
7127	YDR076W	RAD55	S000002483	P	organelle fission	GO:0048285	ORF|Verified	True
7133	YDR077W	SED1	S000002484	P	cell wall organization or biogenesis	GO:0071554	ORF|Verified	True
7134	YDR077W	SED1	S000002484	P	mitochondrion organization	GO:0007005	ORF|Verified	True
7137	YDR078C	SHU2	S000002485	P	DNA recombination	GO:0006310	ORF|Verified	True
7138	YDR078C	SHU2	S000002485	P	DNA repair	GO:0006281	ORF|Verified	True
7139	YDR078C	SHU2	S000002485	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
7143	YDR079C-A	TFB5	S000007603	P	DNA repair	GO:0006281	ORF|Verified	True
7144	YDR079C-A	TFB5	S000007603	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
7145	YDR079C-A	TFB5	S000007603	P	protein phosphorylation	GO:0006468	ORF|Verified	True
7146	YDR079C-A	TFB5	S000007603	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
7152	YDR079W	PET100	S000002486	P	mitochondrion organization	GO:0007005	ORF|Verified	True
7153	YDR079W	PET100	S000002486	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
7162	YDR080W	VPS41	S000002487	P	membrane fusion	GO:0061025	ORF|Verified	True
7163	YDR080W	VPS41	S000002487	P	organelle fusion	GO:0048284	ORF|Verified	True
7164	YDR080W	VPS41	S000002487	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
7165	YDR080W	VPS41	S000002487	P	protein maturation	GO:0051604	ORF|Verified	True
7166	YDR080W	VPS41	S000002487	P	protein targeting	GO:0006605	ORF|Verified	True
7167	YDR080W	VPS41	S000002487	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
7168	YDR080W	VPS41	S000002487	P	regulation of transport	GO:0051049	ORF|Verified	True
7169	YDR080W	VPS41	S000002487	P	vacuole organization	GO:0007033	ORF|Verified	True
7170	YDR080W	VPS41	S000002487	P	vesicle organization	GO:0016050	ORF|Verified	True
7173	YDR081C	PDC2	S000002488	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
7174	YDR081C	PDC2	S000002488	P	cofactor metabolic process	GO:0051186	ORF|Verified	True
7175	YDR081C	PDC2	S000002488	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
7176	YDR081C	PDC2	S000002488	P	monocarboxylic acid metabolic process	GO:0032787	ORF|Verified	True
7177	YDR081C	PDC2	S000002488	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
7178	YDR081C	PDC2	S000002488	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
7179	YDR081C	PDC2	S000002488	P	vitamin metabolic process	GO:0006766	ORF|Verified	True
7183	YDR082W	STN1	S000002489	P	regulation of DNA metabolic process	GO:0051052	ORF|Verified	True
7184	YDR082W	STN1	S000002489	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
7185	YDR082W	STN1	S000002489	P	telomere organization	GO:0032200	ORF|Verified	True
7190	YDR083W	RRP8	S000002490	P	RNA modification	GO:0009451	ORF|Verified	True
7191	YDR083W	RRP8	S000002490	P	rRNA processing	GO:0006364	ORF|Verified	True
7192	YDR083W	RRP8	S000002490	P	ribosomal large subunit biogenesis	GO:0042273	ORF|Verified	True
7201	YDR085C	AFR1	S000002492	P	cell morphogenesis	GO:0000902	ORF|Verified	True
7202	YDR085C	AFR1	S000002492	P	conjugation	GO:0000746	ORF|Verified	True
7203	YDR085C	AFR1	S000002492	P	response to chemical	GO:0042221	ORF|Verified	True
7204	YDR085C	AFR1	S000002492	P	signaling	GO:0023052	ORF|Verified	True
7212	YDR086C	SSS1	S000002493	P	protein targeting	GO:0006605	ORF|Verified	True
7213	YDR086C	SSS1	S000002493	P	transmembrane transport	GO:0055085	ORF|Verified	True
7217	YDR087C	RRP1	S000002494	P	rRNA processing	GO:0006364	ORF|Verified	True
7220	YDR088C	SLU7	S000002495	P	RNA splicing	GO:0008380	ORF|Verified	True
7221	YDR088C	SLU7	S000002495	P	mRNA processing	GO:0006397	ORF|Verified	True
7226	YDR089W	VTC5	S000002496	P	cellular ion homeostasis	GO:0006873	ORF|Verified	True
7236	YDR091C	RLI1	S000002498	P	nuclear transport	GO:0051169	ORF|Verified	True
7237	YDR091C	RLI1	S000002498	P	regulation of translation	GO:0006417	ORF|Verified	True
7238	YDR091C	RLI1	S000002498	P	ribosomal large subunit biogenesis	GO:0042273	ORF|Verified	True
7239	YDR091C	RLI1	S000002498	P	ribosomal subunit export from nucleus	GO:0000054	ORF|Verified	True
7240	YDR091C	RLI1	S000002498	P	translational initiation	GO:0006413	ORF|Verified	True
7244	YDR092W	UBC13	S000002499	P	DNA repair	GO:0006281	ORF|Verified	True
7245	YDR092W	UBC13	S000002499	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
7246	YDR092W	UBC13	S000002499	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
7247	YDR092W	UBC13	S000002499	P	protein modification by small protein conjugation or removal	GO:0070647	ORF|Verified	True
7257	YDR093W	DNF2	S000002500	P	conjugation	GO:0000746	ORF|Verified	True
7258	YDR093W	DNF2	S000002500	P	endocytosis	GO:0006897	ORF|Verified	True
7259	YDR093W	DNF2	S000002500	P	ion transport	GO:0006811	ORF|Verified	True
